,train,val,test,train_label,val_label,test_label
0,normal_050,normal_092,test_069,0,0.0,1.0
1,tumor_034,normal_049,test_002,1,0.0,1.0
2,normal_026,normal_100,test_071,0,0.0,1.0
3,tumor_067,normal_009,test_032,1,0.0,0.0
4,normal_116,normal_141,test_016,0,0.0,1.0
5,tumor_055,normal_017,test_067,1,0.0,0.0
6,normal_034,normal_014,test_102,0,0.0,1.0
7,normal_022,tumor_089,test_006,0,1.0,0.0
8,normal_032,tumor_060,test_037,0,1.0,0.0
9,tumor_042,normal_155,test_113,1,0.0,1.0
10,normal_142,normal_041,test_130,0,0.0,0.0
11,normal_018,normal_115,test_112,0,0.0,0.0
12,normal_105,tumor_099,test_108,0,1.0,1.0
13,tumor_037,normal_101,test_080,1,0.0,0.0
14,normal_106,normal_023,test_018,0,0.0,0.0
15,normal_143,tumor_084,test_007,0,1.0,0.0
16,tumor_077,normal_099,test_068,1,0.0,1.0
17,normal_063,tumor_018,test_090,0,1.0,1.0
18,normal_130,normal_109,test_053,0,0.0,0.0
19,tumor_045,tumor_107,test_022,1,1.0,0.0
20,tumor_097,normal_046,test_088,1,0.0,0.0
21,normal_031,tumor_006,test_013,0,1.0,1.0
22,normal_035,tumor_032,test_125,0,1.0,0.0
23,normal_097,tumor_103,test_057,0,1.0,0.0
24,tumor_101,normal_107,test_029,1,0.0,1.0
25,tumor_013,tumor_106,test_010,1,1.0,1.0
26,normal_006,tumor_049,test_084,0,1.0,1.0
27,tumor_048,,test_009,1,,0.0
28,normal_011,,test_077,0,,0.0
29,tumor_063,,test_028,1,,0.0
30,tumor_056,,test_008,1,,1.0
31,normal_087,,test_014,0,,0.0
32,normal_016,,test_121,0,,1.0
33,normal_059,,test_025,0,,0.0
34,tumor_111,,test_023,1,,0.0
35,tumor_095,,test_093,1,,0.0
36,normal_024,,test_054,0,,0.0
37,normal_071,,test_061,0,,1.0
38,normal_051,,test_048,0,,1.0
39,normal_139,,test_042,0,,0.0
40,normal_008,,test_051,0,,1.0
41,tumor_080,,test_103,1,,0.0
42,tumor_052,,test_003,1,,0.0
43,tumor_093,,test_119,1,,0.0
44,normal_060,,test_073,0,,1.0
